n_miast;pop;limit_pokolen;p_mut;p_cross;elite_pct;best_len;dl_na_miasto;best_gen;gen_run;seed;tolerancja;czas_s
80;800;100;0.0;1.0;0.03;10956.28;136.954;91;100;2;;149.0
80;800;100;0.0;1.0;0.03;11025.82;137.823;97;100;3;;152.391
80;800;100;0.0;1.0;0.03;11853.35;148.167;95;100;4;;156.031
80;800;100;0.0;1.0;0.03;12658.57;158.232;98;100;5;;159.578
80;800;100;0.0;1.0;0.05;10568.28;132.103;100;100;0;;162.547
80;800;100;0.0;1.0;0.05;10866.15;135.827;95;100;1;;165.906
80;800;100;0.0;1.0;0.05;9814.54;122.682;99;100;2;;169.297
80;800;100;0.0;1.0;0.05;10595.69;132.446;90;100;3;;172.516
80;800;100;0.0;1.0;0.05;10140.28;126.754;99;100;4;;176.531
80;800;100;0.0;1.0;0.05;11721.7;146.521;98;100;5;;179.953
80;800;100;0.0;1.0;0.1;10029.65;125.371;99;100;0;;183.078
80;800;100;0.0;1.0;0.1;10244.4;128.055;100;100;1;;186.594
80;800;100;0.0;1.0;0.1;10419.23;130.24;100;100;2;;189.812
80;800;100;0.0;1.0;0.1;8877.39;110.967;98;100;3;;193.141
80;800;100;0.0;1.0;0.1;8925.04;111.563;99;100;4;;196.266
80;800;100;0.0;1.0;0.1;11097.2;138.715;98;100;5;;200.078
80;800;100;0.0;1.0;1.3;16793.52;209.919;1;100;0;;201.922
80;800;100;0.0;1.0;1.3;15878.11;198.476;1;100;1;;203.859
80;800;100;0.0;1.0;1.3;16810.28;210.129;1;100;2;;205.922
80;800;100;0.0;1.0;1.3;15709.18;196.365;1;100;3;;208.172
80;800;100;0.0;1.0;1.3;17316.76;216.459;1;100;4;;210.469
80;800;100;0.0;1.0;1.3;16733.88;209.173;1;100;5;;212.578
80;800;100;0.05;0.95;0.0;14542.65;181.783;83;100;0;;215.969
80;800;100;0.05;0.95;0.0;14071.02;175.888;69;100;1;;219.188
80;800;100;0.05;0.95;0.0;14758.22;184.478;96;100;2;;222.5
80;800;100;0.05;0.95;0.0;13281.8;166.023;96;100;3;;225.812
80;800;100;0.05;0.95;0.0;13908.65;173.858;83;100;4;;229.438
80;800;100;0.05;0.95;0.0;14363.66;179.546;66;100;5;;232.125
80;800;100;0.05;0.95;0.03;10442.86;130.536;100;100;0;;235.891
80;800;100;0.05;0.95;0.03;11438.28;142.978;93;100;1;;238.922
80;800;100;0.05;0.95;0.03;12191.96;152.4;84;100;2;;242.391
80;800;100;0.05;0.95;0.03;10890.12;136.127;98;100;3;;245.922
80;800;100;0.05;0.95;0.03;11405.49;142.569;95;100;4;;249.984
80;800;100;0.05;0.95;0.03;12074.53;150.932;97;100;5;;253.75
80;800;100;0.05;0.95;0.05;10943.93;136.799;100;100;0;;257.25
80;800;100;0.05;0.95;0.05;10811.81;135.148;91;100;1;;261.219
80;800;100;0.05;0.95;0.05;10858.24;135.728;95;100;2;;265.219
80;800;100;0.05;0.95;0.05;9561.73;119.522;100;100;3;;268.922
80;800;100;0.05;0.95;0.05;10058.15;125.727;99;100;4;;272.719
80;800;100;0.05;0.95;0.05;11220.36;140.254;98;100;5;;276.156
80;800;100;0.05;0.95;0.1;10146.88;126.836;98;100;0;;279.781
80;800;100;0.05;0.95;0.1;9397.48;117.468;96;100;1;;283.766
80;800;100;0.05;0.95;0.1;10433.08;130.413;100;100;2;;287.375
80;800;100;0.05;0.95;0.1;9587.64;119.846;95;100;3;;291.0
80;800;100;0.05;0.95;0.1;9816.19;122.702;81;100;4;;294.375
80;800;100;0.05;0.95;0.1;9724.24;121.553;94;100;5;;297.609
80;800;100;0.05;0.95;1.3;16793.52;209.919;1;100;0;;299.797
80;800;100;0.05;0.95;1.3;15878.11;198.476;1;100;1;;302.188
80;800;100;0.05;0.95;1.3;16810.28;210.129;1;100;2;;304.375
80;800;100;0.05;0.95;1.3;15709.18;196.365;1;100;3;;306.703
80;800;100;0.05;0.95;1.3;17316.76;216.459;1;100;4;;308.875
80;800;100;0.05;0.95;1.3;16733.88;209.173;1;100;5;;311.578
80;800;100;0.1;0.9;0.0;13704.1;171.301;96;100;0;;315.062
80;800;100;0.1;0.9;0.0;13872.95;173.412;91;100;1;;318.844
80;800;100;0.1;0.9;0.0;14628.48;182.856;86;100;2;;322.438
80;800;100;0.1;0.9;0.0;13514.43;168.93;87;100;3;;326.266
80;800;100;0.1;0.9;0.0;15197.99;189.975;83;100;4;;330.141
80;800;100;0.1;0.9;0.0;15179.17;189.74;91;100;5;;334.109
80;800;100;0.1;0.9;0.03;10689.18;133.615;97;100;0;;337.484
80;800;100;0.1;0.9;0.03;10725.86;134.073;99;100;1;;341.094
80;800;100;0.1;0.9;0.03;11772.73;147.159;98;100;2;;344.203
80;800;100;0.1;0.9;0.03;10040.6;125.507;100;100;3;;347.438
80;800;100;0.1;0.9;0.03;11694.53;146.182;95;100;4;;350.906
80;800;100;0.1;0.9;0.03;11862.84;148.285;100;100;5;;353.781
80;800;100;0.1;0.9;0.05;10423.52;130.294;82;100;0;;357.281
80;800;100;0.1;0.9;0.05;10612.42;132.655;98;100;1;;361.156
80;800;100;0.1;0.9;0.05;10507.15;131.339;99;100;2;;364.859
80;800;100;0.1;0.9;0.05;9979.52;124.744;100;100;3;;368.172
80;800;100;0.1;0.9;0.05;10868.53;135.857;100;100;4;;371.562
80;800;100;0.1;0.9;0.05;10711.6;133.895;98;100;5;;374.953
80;800;100;0.1;0.9;0.1;9749.39;121.867;98;100;0;;378.75
80;800;100;0.1;0.9;0.1;10136.89;126.711;99;100;1;;382.109
80;800;100;0.1;0.9;0.1;9753.85;121.923;95;100;2;;386.172
80;800;100;0.1;0.9;0.1;9567.71;119.596;100;100;3;;394.312
80;800;100;0.1;0.9;0.1;10011.54;125.144;100;100;4;;401.312
80;800;100;0.1;0.9;0.1;10228.8;127.86;98;100;5;;408.766
80;800;100;0.1;0.9;1.3;16793.52;209.919;1;100;0;;412.672
80;800;100;0.1;0.9;1.3;15878.11;198.476;1;100;1;;417.469
80;800;100;0.1;0.9;1.3;16810.28;210.129;1;100;2;;422.547
80;800;100;0.1;0.9;1.3;15709.18;196.365;1;100;3;;427.516
80;800;100;0.1;0.9;1.3;17316.76;216.459;1;100;4;;432.516
80;800;100;0.1;0.9;1.3;16733.88;209.173;1;100;5;;437.234
80;800;100;0.2;0.8;0.0;13449.86;168.123;98;100;0;;444.109
80;800;100;0.2;0.8;0.0;14356.33;179.454;98;100;1;;450.688
80;800;100;0.2;0.8;0.0;15234.11;190.426;62;100;2;;457.359
80;800;100;0.2;0.8;0.0;13302.53;166.282;71;100;3;;463.797
80;800;100;0.2;0.8;0.0;14339.6;179.245;80;100;4;;470.859
80;800;100;0.2;0.8;0.0;14082.51;176.031;65;100;5;;478.312
80;800;100;0.2;0.8;0.03;11454.37;143.18;96;100;0;;485.234
