n_miast;pop;limit_pokolen;p_mut;p_cross;elite_pct;best_len;dl_na_miasto;best_gen;gen_run;seed;tolerancja;czas_s
40;400;100;0.05;0.95;0.1;4653.04;116.326;98;100;5;;42.906
40;400;100;0.05;0.95;1.3;7282.32;182.058;1;100;0;;43.625
40;400;100;0.05;0.95;1.3;7833.21;195.83;1;100;1;;44.359
40;400;100;0.05;0.95;1.3;7066.0;176.65;1;100;2;;45.0
40;400;100;0.05;0.95;1.3;7835.39;195.885;1;100;3;;45.797
40;400;100;0.05;0.95;1.3;7740.79;193.52;1;100;4;;46.562
40;400;100;0.05;0.95;1.3;7811.19;195.28;1;100;5;;47.422
40;400;100;0.1;0.9;0.0;6061.03;151.526;71;100;0;;48.391
40;400;100;0.1;0.9;0.0;6638.29;165.957;96;100;1;;49.562
40;400;100;0.1;0.9;0.0;5751.32;143.783;52;100;2;;50.453
40;400;100;0.1;0.9;0.0;5261.41;131.535;80;100;3;;51.516
40;400;100;0.1;0.9;0.0;6398.27;159.957;50;100;4;;52.484
40;400;100;0.1;0.9;0.0;7341.19;183.53;18;100;5;;53.547
40;400;100;0.1;0.9;0.03;4796.39;119.91;86;100;0;;54.453
40;400;100;0.1;0.9;0.03;5482.14;137.053;96;100;1;;55.438
40;400;100;0.1;0.9;0.03;4776.95;119.424;73;100;2;;56.281
40;400;100;0.1;0.9;0.03;5064.98;126.625;98;100;3;;57.234
40;400;100;0.1;0.9;0.03;4929.83;123.246;93;100;4;;58.297
40;400;100;0.1;0.9;0.03;5565.57;139.139;83;100;5;;59.344
40;400;100;0.1;0.9;0.05;4007.59;100.19;98;100;0;;60.344
40;400;100;0.1;0.9;0.05;5237.19;130.93;92;100;1;;61.469
40;400;100;0.1;0.9;0.05;4751.82;118.795;81;100;2;;62.609
40;400;100;0.1;0.9;0.05;5074.59;126.865;100;100;3;;63.719
40;400;100;0.1;0.9;0.05;4587.65;114.691;100;100;4;;64.844
40;400;100;0.1;0.9;0.05;5618.44;140.461;94;100;5;;65.953
40;400;100;0.1;0.9;0.1;4249.36;106.234;95;100;0;;67.062
40;400;100;0.1;0.9;0.1;4377.93;109.448;97;100;1;;68.141
40;400;100;0.1;0.9;0.1;3963.8;99.095;94;100;2;;69.219
40;400;100;0.1;0.9;0.1;3498.4;87.46;96;100;3;;70.328
40;400;100;0.1;0.9;0.1;4126.3;103.157;98;100;4;;71.391
40;400;100;0.1;0.9;0.1;4538.32;113.458;100;100;5;;72.516
40;400;100;0.1;0.9;1.3;7282.32;182.058;1;100;0;;73.188
40;400;100;0.1;0.9;1.3;7833.21;195.83;1;100;1;;73.891
40;400;100;0.1;0.9;1.3;7066.0;176.65;1;100;2;;74.719
40;400;100;0.1;0.9;1.3;7835.39;195.885;1;100;3;;75.516
40;400;100;0.1;0.9;1.3;7740.79;193.52;1;100;4;;76.141
40;400;100;0.1;0.9;1.3;7811.19;195.28;1;100;5;;76.688
40;400;100;0.2;0.8;0.0;6180.84;154.521;31;100;0;;77.672
40;400;100;0.2;0.8;0.0;6734.05;168.351;43;100;1;;78.734
40;400;100;0.2;0.8;0.0;5722.32;143.058;98;100;2;;80.094
40;400;100;0.2;0.8;0.0;6416.6;160.415;51;100;3;;81.688
40;400;100;0.2;0.8;0.0;6369.99;159.25;25;100;4;;83.422
40;400;100;0.2;0.8;0.0;6040.66;151.017;48;100;5;;84.656
40;400;100;0.2;0.8;0.03;4353.83;108.846;99;100;0;;85.906
40;400;100;0.2;0.8;0.03;4888.7;122.218;100;100;1;;87.031
40;400;100;0.2;0.8;0.03;4730.37;118.259;84;100;2;;88.109
40;400;100;0.2;0.8;0.03;5520.75;138.019;95;100;3;;88.984
40;400;100;0.2;0.8;0.03;5292.73;132.318;98;100;4;;90.109
40;400;100;0.2;0.8;0.03;5774.22;144.355;95;100;5;;91.188
40;400;100;0.2;0.8;0.05;4154.09;103.852;98;100;0;;92.25
40;400;100;0.2;0.8;0.05;4204.69;105.117;91;100;1;;93.312
40;400;100;0.2;0.8;0.05;4288.0;107.2;87;100;2;;94.203
40;400;100;0.2;0.8;0.05;5118.32;127.958;98;100;3;;95.016
40;400;100;0.2;0.8;0.05;4899.54;122.488;91;100;4;;95.859
40;400;100;0.2;0.8;0.05;5335.29;133.382;98;100;5;;97.531
40;400;100;0.2;0.8;0.1;3231.01;80.775;99;100;0;;98.797
40;400;100;0.2;0.8;0.1;4447.46;111.187;97;100;1;;99.766
40;400;100;0.2;0.8;0.1;3721.69;93.042;100;100;2;;100.688
40;400;100;0.2;0.8;0.1;3864.3;96.608;95;100;3;;101.562
40;400;100;0.2;0.8;0.1;3971.47;99.287;93;100;4;;102.75
40;400;100;0.2;0.8;0.1;5193.97;129.849;92;100;5;;103.969
40;400;100;0.2;0.8;1.3;7282.32;182.058;1;100;0;;104.594
40;400;100;0.2;0.8;1.3;7833.21;195.83;1;100;1;;105.344
40;400;100;0.2;0.8;1.3;7066.0;176.65;1;100;2;;106.484
40;400;100;0.2;0.8;1.3;7835.39;195.885;1;100;3;;107.312
40;400;100;0.2;0.8;1.3;7740.79;193.52;1;100;4;;107.688
40;400;100;0.2;0.8;1.3;7811.19;195.28;1;100;5;;108.062
40;400;100;0.4;0.6;0.0;5503.74;137.594;93;100;0;;108.547
40;400;100;0.4;0.6;0.0;6691.79;167.295;89;100;1;;109.188
40;400;100;0.4;0.6;0.0;5817.52;145.438;99;100;2;;109.766
40;400;100;0.4;0.6;0.0;5782.87;144.572;97;100;3;;110.453
40;400;100;0.4;0.6;0.0;6680.29;167.007;56;100;4;;111.125
40;400;100;0.4;0.6;0.0;6616.22;165.406;89;100;5;;111.797
40;400;100;0.4;0.6;0.03;4629.35;115.734;100;100;0;;112.219
40;400;100;0.4;0.6;0.03;5645.61;141.14;88;100;1;;113.047
40;400;100;0.4;0.6;0.03;4925.62;123.141;83;100;2;;113.609
40;400;100;0.4;0.6;0.03;4352.01;108.8;99;100;3;;114.031
40;400;100;0.4;0.6;0.03;4811.89;120.297;96;100;4;;116.328
40;400;100;0.4;0.6;0.03;5256.33;131.408;97;100;5;;117.016
40;400;100;0.4;0.6;0.05;3884.49;97.112;98;100;0;;118.016
40;400;100;0.4;0.6;0.05;5081.31;127.033;94;100;1;;119.203
40;400;100;0.4;0.6;0.05;4969.41;124.235;100;100;2;;121.656
40;400;100;0.4;0.6;0.05;4608.21;115.205;99;100;3;;122.734
40;400;100;0.4;0.6;0.05;4778.26;119.457;95;100;4;;123.734
40;400;100;0.4;0.6;0.05;5303.47;132.587;91;100;5;;124.641
40;400;100;0.4;0.6;0.1;4304.5;107.613;97;100;0;;125.578
40;400;100;0.4;0.6;0.1;4521.51;113.038;99;100;1;;126.734
40;400;100;0.4;0.6;0.1;3895.46;97.387;100;100;2;;127.812
40;400;100;0.4;0.6;0.1;4170.85;104.271;100;100;3;;128.719
40;400;100;0.4;0.6;0.1;3987.77;99.694;96;100;4;;129.594
40;400;100;0.4;0.6;0.1;4032.56;100.814;99;100;5;;130.297
40;400;100;0.4;0.6;1.3;7282.32;182.058;1;100;0;;131.359
40;400;100;0.4;0.6;1.3;7833.21;195.83;1;100;1;;132.234
40;400;100;0.4;0.6;1.3;7066.0;176.65;1;100;2;;133.047
40;400;100;0.4;0.6;1.3;7835.39;195.885;1;100;3;;133.859
40;400;100;0.4;0.6;1.3;7740.79;193.52;1;100;4;;134.656
40;400;100;0.4;0.6;1.3;7811.19;195.28;1;100;5;;135.547
